	study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
0	PRJEB1787	SAMEA2591108	ERX140284	ERR164407	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164407/ERR164407.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR164/ERR164407/APY_COTS_GPUCM0403.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR164/ERR164407
1	PRJEB1787	SAMEA2591098	ERX140285	ERR164408	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164408/ERR164408.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR164/ERR164408/APY_BOTM_GPO2PDH02.RLMID2.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR164/ERR164408
2	PRJEB1787	SAMEA2591084	ERX140286	ERR164409	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164409/ERR164409.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR164/ERR164409/APY_AOTM_GPO2PDH04.RLMID1.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR164/ERR164409
3	PRJEB1787	SAMEA2620084	ERX1772048	ERR1701760	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1701760/ERR1701760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1701760/ERR1701760_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1701760/APY_ADMIOSF_1_1_D1BKNACXX.IND2_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1701760/APY_ADMIOSF_1_2_D1BKNACXX.IND2_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1701760
4	PRJEB1787	SAMEA2591084	ERX289007	ERR315858	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315858/ERR315858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315858/ERR315858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315858/APY_AOSE_2_1_62JUVAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315858/APY_AOSE_2_2_62JUVAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315858
5	PRJEB1787	SAMEA2591098	ERX289006	ERR315859	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315859/ERR315859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315859/ERR315859_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315859/APY_BOSE_4_1_62JUVAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315859/APY_BOSE_4_2_62JUVAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315859
6	PRJEB1787	SAMEA2591098	ERX289008	ERR315860	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315860/ERR315860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315860/ERR315860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315860/APY_BOSE_3_1_62JUVAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315860/APY_BOSE_3_2_62JUVAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315860
7	PRJEB1787	SAMEA2591084	ERX289009	ERR315861	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315861/ERR315861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315861/ERR315861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315861/APY_AOSE_1_1_62JUVAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315861/APY_AOSE_1_2_62JUVAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315861
8	PRJEB1787	SAMEA2591108	ERX289010	ERR315862	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315862/ERR315862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315862/ERR315862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315862/APY_COSF_8_1_D0AE1ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315862/APY_COSF_8_2_D0AE1ACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315862
9	PRJEB1787	SAMEA2591108	ERX289011	ERR315863	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315863/ERR315863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315863/ERR315863_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315863/APY_COSE_8_1_81DHRABXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315863/APY_COSE_8_2_81DHRABXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315863
